"phrase","n"
"so eva<U+1E41> samahite citte parisuddhe pariyodate ana<U+1E45>ga<U+1E47>e vigatupakkilese mudubhute kammaniye <U+1E6D>hite aneñjappatte asavana<U+1E41> khayaña<U+1E47>aya citta<U+1E41> abhininname",10
"so eva<U+1E41> samahite citte parisuddhe pariyodate ana<U+1E45>ga<U+1E47>e vigatupakkilese mudubhute kammaniye <U+1E6D>hite aneñjappatte sattana<U+1E41> cutupapataña<U+1E47>aya citta<U+1E41> abhininname",10
"so yena yeneva pakkama",10
"soha<U+1E41> tatha karissami yatha me puna na vicikiccha uppajjissa",10
"ssa vacaniya<U+1E41>",10
"ta<U+1E41> ve bhaddekaratto",10
"ta<U+1E41> vidva manubruhaye",10
"tadevettha seyyo",10
"taggha tva<U+1E41>",10
"tamena<U+1E41> adhammacariyavisamacariyahetu niraya<U+1E41> nirayapala upaka<U+1E0D><U+1E0D>heyyu<U+1E41>",10
"tamena<U+1E41> eva<U+1E41> vadeyyu<U+1E41>",10
"tamena<U+1E41> passami aparena samayena dibbena cakkhuna visuddhena a",10
"tasma eso dhammo sara<U+1E47>o",10
"tatha haya<U+1E41> bhava<U+1E41> puriso saratthiko saragavesi sarapariyesana<U+1E41> caramano mahato rukkhassa",10
"tathagatassa tathagatabala<U+1E41> ho",10
"tattha tattha vipassa",10
"tayida<U+1E41> sa<U+1E45>khata<U+1E41> o<U+1E37>arika<U+1E41> atthi kho pana sa<U+1E45>kharana<U+1E41> nirodho atthetan",10
"te kayassa bheda para<U+1E41> mara<U+1E47>a apaya<U+1E41> dugga",10
"te kayassa bheda para<U+1E41> mara<U+1E47>a suga",10
"uratta<U+1E37>i<U+1E41> kanda",10
"va panassa sa",10
"viditva tassa nissara<U+1E47>adassavi tathagato tadupa",10
"vijja uppanna",10
"vivekanissita<U+1E41> viraganissita<U+1E41> nirodhanissita<U+1E41> vossaggapari<U+1E47>ami<U+1E41>",10
"ya asa",10
"ya sa",10
"ya vijja adhigata",10
"ya<U+1E41> bala<U+1E41> agamma tathagato asabha<U+1E41> <U+1E6D>hana<U+1E41> pa<U+1E6D>ijana",10
"ya<U+1E41> ta<U+1E41> vutta<U+1E41> bhagavata idameta<U+1E41> pa<U+1E6D>icca vutta<U+1E41>",10
"yadatita<U+1E41> pahina<U+1E41> ta<U+1E41>",10
"yasma ca kho",10
"yassa kassaci kayagatasa",10
"yassadani tva<U+1E41>",10
"yathabhuta<U+1E41> nappajana",10
"yato ca kho",10
"yavadeva ca pana so puriso kilamathassa vighatassa bhagi assa",10
"yavadeva ña<U+1E47>amattaya pa<U+1E6D>issa",10
"yaya viharasamapat",10
"yo hi",10
"<U+1E41> atthasa<U+1E41>hita<U+1E41>",9
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajjeyya",9
"<U+1E41>sampi ja",9
"<U+1E47><U+1E47>a<U+1E41> vedana<U+1E41> paragu sanigha<U+1E47><U+1E0D>uke<U+1E6D>ubhana<U+1E41> sakkharappabhedana<U+1E41> i",9
"acchariya<U+1E41> vata bho",9
"ajjhatta<U+1E41> va kaye kayanupassi vihara",9
"alamettavata katamettavata",9
"aloko uppanno",9
"amutrasi<U+1E41> eva<U+1E41>namo eva<U+1E45>gotto eva<U+1E41>va<U+1E47><U+1E47>o evamaharo eva<U+1E41>sukhadukkhappa<U+1E6D>isa<U+1E41>vedi evamayupariyanto",9
"añña<U+1E41> jiva<U+1E41> añña<U+1E41> sariran",9
"aññesa<U+1E41> hetuka dhammika kammanta",9
"anuppatto no samaññattho",9
"appabadha<U+1E41> appata<U+1E45>ka<U+1E41> lahu<U+1E6D><U+1E6D>hana<U+1E41> bala<U+1E41> phasuvihara<U+1E41> puccha",9
"arocayami vo",9
"atha kho bhagava bhikkhu amantesi",9
"atha kho maya<U+1E41>",9
"atha kho pañcaka<U+1E45>go thapa",9
"atha kho te",9
"avijja vihata",9
"aya<U+1E41> kho ma<U+1E41>",9
"aya<U+1E41> vuccatananda",9
"ayoni hesa",9
"bhagavato sutva bhikkhu dharessanti",9
"bhagavato tassa savakohamasmi",9
"bhavanirodha ja",9
"bhavita bahulikata",9
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe",9
"brahma<U+1E47>a pañca dhamme paññapen",9
"ca na ca upapajjati",9
"cavamane upapajjamane hine pa<U+1E47>ite suva<U+1E47><U+1E47>e dubba<U+1E47><U+1E47>e sugate duggate yathakammupage satte pajana",9
"daharassa hi",9
"dhammo ña<U+1E47>adassanena uttaritaro ca pa<U+1E47>itataro ca",9
"dosina rat",9
"ekacco kulaputto saddha agarasma anagariya<U+1E41> pabbajito ho",9
"ekacco pa<U+1E47>a",9
"esaha<U+1E41> bhavanta<U+1E41> gotama<U+1E41> sara<U+1E47>a<U+1E41> gacchami dhammañca bhikkhusa<U+1E45>ghañca",9
"eva<U+1E41> dhamma<U+1E41> anussarato",9
"eva<U+1E41> kho aha<U+1E41>",9
"eva<U+1E41> kirame dhamma ahutva sambhon",9
"eva<U+1E41> vase<U+1E6D><U+1E6D>ha janahi",9
"gha<U+1E6D>ikaro kho",9
"handa ca dani maya<U+1E41>",9
"hirottappenamha samannagata",9
"hutva pa<U+1E6D>iventi",9
"ida<U+1E41> kho ta<U+1E41>",9
"idamassa nanujanami",9
"idampi kho aha<U+1E41>",9
"idampissa ho",9
"idha panaha<U+1E41>",9
"idhavuso sariputta",9
"ime va pana bhonto satta kayasucaritena samannagata vacisucaritena samannagata manosucaritena samannagata ariyana<U+1E41> anupavadaka sammadi<U+1E6D><U+1E6D>hika sammadi<U+1E6D><U+1E6D>hikammasamadana",9
"ime vata bhonto satta kayaduccaritena samannagata vaciduccaritena samannagata manoduccaritena samannagata ariyana<U+1E41> upavadaka micchadi<U+1E6D><U+1E6D>hika micchadi<U+1E6D><U+1E6D>hikammasamadana",9
"kampi karon",9
"katha<U+1E41> va te ettha hoti",9
"kittavata pana",9
"kkamma nevasaññanasaññayatana<U+1E41> upasampajja vihara",9
"kkamma saññavedayitanirodha<U+1E41> upasampajja vihara",9
"ko nu kho imassa bhagavata sa<U+1E45>khittena uddesassa uddi<U+1E6D><U+1E6D>hassa vittharena attha<U+1E41> avibhattassa vittharena attha<U+1E41> vibhajeyya",9
"kopañca dosañca appaccayañca patukaro",9
"labha no",9
"li<U+1E45>ga<U+1E41> ja",9
"ma na<U+1E41> niraya<U+1E41> nirayapala",9
"manasi karitva kho",9
"manasi karohi",9
"na kho te sandhiya",9
"na na upapajjati",9
"na tumhaka<U+1E41>",9
"natthi kho",9
"natthi no kiñci uttari<U+1E41> kara<U+1E47>iyan",9
"nisidi bhagava paññatte asane",9
"no cepi te bhonto sama<U+1E47>abrahma<U+1E47>a opakkamika dukkha",9
"opakkamika cepi te bhonto sama<U+1E47>abrahma<U+1E47>a dukkha",9
"pa<U+1E6D>ivedayami vo",9
"pathavi<U+1E41> me",9
"pi na ho",9
"puññañca pa<U+1E6D>ipada<U+1E41> pa<U+1E6D>ipajjitu<U+1E41>",9
"sabba<U+1E41> ta<U+1E41> pubbekatahetu",9
"sabbaphaliphulla sala",9
"sabrahmacarisu avi ceva raho ca",9
"sace aka<U+1E45>kha",9
"sahassampi ja",9
"samma byakaramana",9
"satampi ja",9
"siya kho pana",9
"siya vipari<U+1E47>amo",9
"so tato cuto amutra udapadi<U+1E41>",9
"so tato cuto idhupapanno",9
"so taya samadhisampadaya attamano ho",9
"so taya silasampadaya na attanukka<U+1E41>se",9
"so tesu dhammesu anupayo anapayo anissito appa<U+1E6D>ibaddho vippamutto visa<U+1E41>yutto vimariyadikatena cetasa vihara",9
"so vata",9
"ssopi ja",9
"suladdha<U+1E41> no",9
"ta<U+1E41> jiva<U+1E41> ta<U+1E41> sariran",9
"tamena<U+1E41> samannesamano eva<U+1E41> jana",9
"tamo vihato",9
"tasma eso dhammo ara<U+1E47>o",9
"tassa mittamacca ña",9
"tatrapasi<U+1E41> eva<U+1E41>namo eva<U+1E45>gotto eva<U+1E41>va<U+1E47><U+1E47>o evamaharo eva<U+1E41>sukhadukkhappa<U+1E6D>isa<U+1E41>vedi evamayupariyanto",9
"tavatakeneva tu<U+1E6D><U+1E6D>hi<U+1E41> apajjeyyatha",9
"tejo patukareyya",9
"tena bhagavata janata passata arahata sammasambuddhena sandhaya bhasita<U+1E41>",9
"tthiya paribbajaka eva<U+1E41> byakareyyu<U+1E41>",9
"tumhaka<U+1E41> evamassa",9
"upasa<U+1E45>kamitva ayasmanta<U+1E41> mahakaccana<U+1E41> etamattha<U+1E41> pa<U+1E6D>ipuccheyyama",9
"uttari<U+1E41> kara<U+1E47>iya<U+1E41>",9
"uttari<U+1E41> kara<U+1E47>iye",9
"vasanto ca naradheyya ñaya<U+1E41> dhamma<U+1E41> kusala<U+1E41>",9
"ya attanukka<U+1E41>se",9
"ya kho",9
"ya nevattanukka<U+1E41>se",9
"ya<U+1E41> kho no",9
"ya<U+1E41> kiñcaya<U+1E41> purisapuggalo pa<U+1E6D>isa<U+1E41>vede",9
"yannuna maya<U+1E41> yenayasma mahakaccano tenupasa<U+1E45>kameyyama",9
"yo catassopi ja",9
"yo dasapi ja",9
"yo ja",9
"yo pañcapi ja",9
"yo paññasampi ja",9
"yo visampi ja",9
"yoni hesa",9
"yopi hi",9
"<U+1E41> katu<U+1E41>",8
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapajjeyya",8
"<U+1E41> sukhavipaka<U+1E41>",8
"<U+1E6D><U+1E6D>hato ca suttassa ca jagarassa ca satata<U+1E41> samita<U+1E41> ña<U+1E47>adassana<U+1E41> paccupa<U+1E6D><U+1E6D>hitan",8
"abbhokaso pabbajja",8
"adhivasesi bhagava tu<U+1E47>hibhavena",8
"adukkhamasukha<U+1E41> upekkhasa",8
"aha<U+1E41> dhamma<U+1E41> desemi",8
"aha<U+1E41> kho",8
"aha<U+1E41> kho pana",8
"ajjhatta<U+1E41> asa<U+1E47><U+1E6D>hite anupadaya aparitassato aya",8
"amutra va sutva na imesa<U+1E41> akkhata amusa<U+1E41> bhedaya",8
"añña<U+1E41> va tato santatara<U+1E41>",8
"aññatreva rat",8
"aparantanudi<U+1E6D><U+1E6D>hinañca pa<U+1E6D>inissagga",8
"appama<U+1E47>a cetovimut",8
"appamatto samano silasampada<U+1E41> aradhe",8
"ariyassa vinaye sallekha vuccan",8
"atha kho ma<U+1E41>",8
"atha kho ta<U+1E41>",8
"atthi cevaya<U+1E41> darathamatta yadida<U+1E41>",8
"atthi cevida<U+1E41> asuññata<U+1E41> yadida<U+1E41>",8
"aya<U+1E41> kho ayasma mahakaccano satthu ceva sa<U+1E41>va<U+1E47><U+1E47>ito sambhavito ca viññuna<U+1E41> sabrahmacarina<U+1E41>",8
"aya<U+1E41> tassa sama",8
"ayametassa attho",8
"ayampi kho kayo eva<U+1E41>dhammo eva<U+1E41>bhavi eva<U+1E41>anatito",8
"ayasma sariputto etadavoca",8
"bahukicca maya<U+1E41> bahukara<U+1E47>iya",8
"bhagava avoca",8
"bhagava bhikkhusa<U+1E45>gha<U+1E41>",8
"bhayabhoga pa<U+1E6D>ivirata araññayatanani ajjhogahetva vihareyyama",8
"bhikkhu eva<U+1E41> pajana",8
"bhikkhu na kodhano ho",8
"bhikkhu sabbaso viñña<U+1E47>añcayatana<U+1E41> sama",8
"bhikkhu sukhassa ca pahana dukkhassa ca pahana pubbeva somanassadomanassana<U+1E41> attha<U+1E45>gama adukkhamasukha<U+1E41> upekkhasa",8
"brahma sahampa",8
"brahmacariyapariyosana<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja vihasi",8
"cavamane upapajjamane hine pa<U+1E47>ite suva<U+1E47><U+1E47>e dubba<U+1E47><U+1E47>e",8
"ceva suyan",8
"cha ajjhat",8
"dhamma tasma loka",8
"dhammanvayo ho",8
"dhammupasa<U+1E41>hita<U+1E41> pamojja<U+1E41>",8
"dukkhakkhandho kamahetu kamanidana<U+1E41> kamadhikara<U+1E47>a<U+1E41> kamanameva hetu",8
"ehi dani",8
"eka<U+1E41> samaya<U+1E41> bhagava sakkesu vihara",8
"eka<U+1E41>yeva sata<U+1E41> na dve satani na ti<U+1E47>i satani na cattari satani na pañca satani",8
"eta<U+1E41> santa<U+1E41> eta<U+1E41> pa<U+1E47>ita<U+1E41> yadida<U+1E41>",8
"ettavata ima<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja viharami",8
"eva<U+1E41> me ettha ho",8
"evampissa esa",8
"evañca vadehi",8
"evañhi ta<U+1E41>",8
"evarupa<U+1E41> te",8
"gandha sampavan",8
"idampi vucca",8
"idampissa nanujanami",8
"imasmi<U+1E41> dhammavinaye brahmacariya<U+1E41> caritun",8
"ito sutva na amutra akkhata imesa<U+1E41> bhedaya",8
"jaramara<U+1E47>adukkhasamudayasambhavo na hoti",8
"ka ki<U+1E41>pabhava",8
"kamana<U+1E41> adinavo sandi<U+1E6D><U+1E6D>hiko dukkhakkhandho kamahetu kamanidana<U+1E41> kamadhikara<U+1E47>a<U+1E41> kamanameva hetu",8
"katama<U+1E41> panavuso",8
"kayassa bheda para<U+1E41> mara<U+1E47>a",8
"kayassa bheda para<U+1E41> mara<U+1E47>a dugga",8
"ki<U+1E41> pana tva<U+1E41>",8
"ko abhisamparayo",8
"ko adinavo",8
"ko ca",8
"ko ca tassa sama",8
"kusala dhamma abhiva<U+1E0D><U+1E0D>hanti",8
"labha vata me",8
"mahaggata cetovimut",8
"mara<U+1E47>amattampi dukkha<U+1E41>",8
"matta samana pamada<U+1E41> apajji<U+1E41>su",8
"mayhampatthi pañña",8
"mayhampatthi saddha",8
"miccha tesa<U+1E41> ña<U+1E47>an",8
"na kho panete",8
"na kopañca dosañca appaccayañca patukaro",8
"na parabyabadhayapi sa<U+1E41>vatta",8
"na passami",8
"na tassa labha",8
"na thinamiddha<U+1E41>",8
"na ubhayabyabadhayapi sa<U+1E41>vatta",8
"na<U+1E41> kareyyasi",8
"nacirasseva khippameva ta<U+1E41> dhamma<U+1E41> pariyapu<U+1E47>i<U+1E41>",8
"nacirasseva khippameva ta<U+1E41> dhamma<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja vihasi<U+1E41>",8
"namo tassa bhagavato arahato sammasambuddhassa",8
"natthi dinna<U+1E41>",8
"natthi sama<U+1E47>assa gotamassa uttari manussadhamma alamariyaña<U+1E47>adassanaviseso",8
"naya<U+1E41> dhammo nibbidaya na viragaya na nirodhaya na upasamaya na abhiññaya na sambodhaya na nibbanaya sa<U+1E41>vatta",8
"ñca dukkhavipaka<U+1E41>",8
"ñca sukhavipaka<U+1E41>",8
"neva upapajja",8
"ni<U+1E6D><U+1E6D>hita<U+1E41> bhattan",8
"nibbana<U+1E41> me",8
"odata<U+1E41> vattha<U+1E41> abhirupa<U+1E41> nimmala<U+1E41> suci",8
"pa<U+1E6D>isañcikkhato abbhattha<U+1E41> gaccha",8
"pacchimena va purima<U+1E41>",8
"pamada<U+1E41> apajja",8
"pamatto samano dukkha<U+1E41> vihara",8
"pañcavaggiye bhikkhu etadavoca<U+1E41>",8
"paripu<U+1E47><U+1E47>a<U+1E41> abboki<U+1E47><U+1E47>a<U+1E41>",8
"parisuddho no kayasamacaro",8
"pariyu<U+1E6D><U+1E6D>hitacittova ho",8
"pasarita<U+1E41> va baha<U+1E41> samiñjeyya",8
"pi me",8
"pubbeva somanassadomanassana<U+1E41> attha<U+1E45>gama",8
"puna caparaha<U+1E41>",8
"puññassa kiriyaya",8
"purimena va pacchima<U+1E41>",8
"purisa<U+1E41> papañcasaññasa<U+1E45>kha samudacaran",8
"rekapujaya pujeta ho",8
"riya<U+1E41> ga<U+1E45>gaya sota<U+1E41> chetva sotthina para<U+1E41> agama<U+1E41>su",8
"sa panavuso",8
"sabba<U+1E41> me nakkhamati",8
"sabbaso kamasa<U+1E41>yojanana<U+1E41> anadhi<U+1E6D><U+1E6D>hana",8
"sallekhena viharami",8
"samma gha<U+1E6D>ikara",8
"samma sañjikaputta",8
"sandhaya bhasita<U+1E41>",8
"saretva ekamanta<U+1E41> a<U+1E6D><U+1E6D>hasi",8
"sato ca sampajano",8
"siya bahira",8
"siya pana",8
"so anattantapo aparantapo di<U+1E6D><U+1E6D>heva dhamme nicchato nibbuto sitibhuto sukhappa<U+1E6D>isa<U+1E41>vedi brahmabhutena attana vihara",8
"so atthi uttari nissara<U+1E47>an",8
"so imameva kaya<U+1E41> upasa<U+1E41>hara",8
"so tena labhasakkarasilokena na majja",8
"sso vedana vutta bhagavata",8
"ta<U+1E41> dhamma<U+1E41> anala<U+1E45>karitva tasma dhamma nibbijja apakkami<U+1E41>",8
"ta<U+1E41> karomi",8
"ta<U+1E41> ki<U+1E41> maññathavuso niga<U+1E47><U+1E6D>ha",8
"ta<U+1E41> santamida<U+1E41> atthi",8
"ta<U+1E41> su<U+1E47>ahi",8
"tabbahulikara atthitvevassa ho",8
"tadaminapeta<U+1E41> ayasmanto janatha",8
"tadanudhammañca citta<U+1E41> bhaveyya<U+1E41>",8
"tadiso aya<U+1E41> dhammo yattha viññu puriso nacirasseva saka<U+1E41> acariyaka<U+1E41> saya<U+1E41> abhiñña sacchikatva upasampajja vihareyya",8
"takkapariyahata<U+1E41> sama<U+1E47>o gotamo dhamma<U+1E41> dese",8
"tamena<U+1E41> tathagato uttari<U+1E41> vine",8
"tani abhibhuyya janami",8
"tassa ka ga",8
"tasseta<U+1E41> pa<U+1E6D>ika<U+1E45>kha<U+1E41>",8
"tatha tatha",8
"tathagato abhijana",8
"te samma janan",8
"te su<U+1E47>an",8
"te tattha anupakhajja mucchita bhojanani bhuñjamana mada<U+1E41> apajji<U+1E41>su",8
"te tattha mara<U+1E47>ampi nigacchan",8
"tena ta<U+1E41> suñña<U+1E41> samanupassa",8
"tesaha<U+1E41> sa<U+1E41>yojanana<U+1E41> pahanaya samucchedaya pa<U+1E6D>ipanno",8
"ttha<U+1E41> jana",8
"tva<U+1E41> panavuso",8
"u<U+1E37>araya ca ma<U+1E41> pujaya pujesi",8
"upadananirodha bhavanirodho",8
"va<U+1E47><U+1E47>a añño va<U+1E47><U+1E47>o uttaritaro va pa<U+1E47>itataro va natthi so paramo va<U+1E47><U+1E47>o",8
"vedana anatta",8
"vicikiccha<U+1E41> pahaya",8
"viditva tasma brahmacariya nibbijja pakkama",8
"viñña<U+1E47>e avikkhitte avisa<U+1E6D>e sa",8
"ya<U+1E41> pana tattha avasi<U+1E6D><U+1E6D>ha<U+1E41> ho",8
"yamaha<U+1E41> ñatva ca disva ca sutva ca agarasma anagariya<U+1E41> pabbajito",8
"yañcassa sarena sarakara<U+1E47>iya<U+1E41> tañcassa attha<U+1E41> nanubhavissati",8
"yañhi kho tattha na ho",8
"yanta<U+1E41> vutta<U+1E41> idameta<U+1E41> pa<U+1E6D>icca vutta<U+1E41>",8
"yavassu me",8
"ye aññatha janan",8
"ye asava sa<U+1E45>kilesika ponobbhavika sadara dukkhavipaka aya",8
"ye eva<U+1E41> janan",8
"ye maya<U+1E41> ayasmanta<U+1E41> tadisa<U+1E41> sabrahmacari<U+1E41> passama",8
"yena a<U+1E37>aro kalamo tenupasa<U+1E45>kami<U+1E41>",8
"yena sa<U+1E45>gho attamano ho",8
"yena udako ramaputto tenupasa<U+1E45>kami<U+1E41>",8
"yepi tattha satta upapanna tepi pharitva adhimuccitva vihara",8
"yo cattalisampi ja",8
"yo hi koci manussesu",8
"yo kira",8
"yo nu kho",8
"yo sama<U+1E47>o",8
"<U+1E41> anuppadadhammo",7
"<U+1E41> dukkhavipaka<U+1E41>",7
"<U+1E41> sa<U+1E41>hasan",7
"<U+1E41> sallapan",7
"<U+1E41> sañjagghan",7
"<U+1E47><U+1E47>avicikiccho vihara",7
"abbhuta<U+1E41> vata bho",7
"abhijjhaya citta<U+1E41> parisodhe",7
"addha kho",7
"adibrahmacariya<U+1E41> pa<U+1E6D>ijanan",7
"adinnadayi ho",7
"agarasma anagariya<U+1E41> pabbajito ho",7
"agarasma anagariya<U+1E41> pabbajjaya",7
"akatha<U+1E45>kathi kusalesu dhammesu",7
"alattha upasampada<U+1E41>",7
"alokite vilokite sampajanakari ho",7
"amaha<U+1E41> puggala<U+1E41> addasa<U+1E41>",7
"amhaka<U+1E41> etadahosi",7
"anabhava<U+1E41> game",7
"aññatreva kamehi aññatra akusalehi dhammehi",7
"anussavassuta va",7
"anussavassuto va",7
"api nu tumhe",7
"appekacce bhagavata saddhi<U+1E41> sammodi<U+1E41>su",7
"appekacce bhagavato san",7
"appekacce tu<U+1E47>hibhuta ekamanta<U+1E41> nisidi<U+1E41>su",7
"appekacce yena bhagava tenañjali<U+1E41> pa<U+1E47>ametva ekamanta<U+1E41> nisidi<U+1E41>su",7
"araha<U+1E41> sammasambuddho vijjacara<U+1E47>asampanno sugato lokavidu anuttaro purisadammasarathi sattha devamanussana<U+1E41> buddho bhagava",7
"ariya<U+1E41> lokuttara<U+1E41> asadhara<U+1E47>a<U+1E41> puthujjanehi",7
"asinapi sisa<U+1E41> chindan",7
"asite pite khayite sayite sampajanakari ho",7
"atha khvettha brahma<U+1E47>a evameta<U+1E41> maññan",7
"atthi deva",7
"avuso kassapa",7
"avuso revata",7
"ayampi kho me",7
"ayasma anando bhagavanta<U+1E41> etadavoca",7
"bahiddha katha<U+1E41> apaname",7
"bba ka<U+1E6D>uka vedana vediyetha",7
"bhagava anupadaparinibbana<U+1E41> paññapeyya",7
"bhagavanta<U+1E41> etadavoca",7
"bhagavato san",7
"bhikkhu buddhassa savako",7
"bhikkhu eva<U+1E41> byakareyya",7
"bhikkhu sabbaso akasanañcayatana<U+1E41> sama",7
"bhikkhu sabbaso rupasaññana<U+1E41> sama",7
"bhunahu sama<U+1E47>o gotamo",7
"brahma<U+1E47>ava brahmuno putta orasa mukhato jata brahmaja brahmanimmita brahmadayada",7
"brahma<U+1E47>ova sukko va<U+1E47><U+1E47>o",7
"brahmacariyapariyosana<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja viharissatha",7
"byapadapadosa<U+1E41> pahaya abyapannacitto vihara",7
"cakkhundriye sa<U+1E41>vara<U+1E41> apajja",7
"cattaro sa",7
"da<U+1E37>ha<U+1E41> bandhana<U+1E41>",7
"dhammo samano ja",7
"dhatukusalo bhikkhu",7
"di<U+1E6D><U+1E6D>heva dhamme akusalana<U+1E41> dhammana<U+1E41> pahana<U+1E41>",7
"ekacco puggalo ye te santa vimokkha a",7
"etarahi kathaya sannisinna",7
"ettaka<U+1E41> va dukkha<U+1E41> nijji<U+1E47><U+1E47>a<U+1E41>",7
"ettaka<U+1E41> va dukkha<U+1E41> nijjiretabba<U+1E41>",7
"ettakamhi va dukkhe nijji<U+1E47><U+1E47>e sabba<U+1E41> dukkha<U+1E41> nijji<U+1E47><U+1E47>a<U+1E41> bhavissati",7
"ettavata no",7
"ettha ce natthi abhinanditabba<U+1E41> abhivaditabba<U+1E41> ajjhositabba<U+1E41>",7
"eva<U+1E41> da<U+1E6D><U+1E6D>habba<U+1E41>",7
"eva<U+1E41> saññi ho",7
"eva<U+1E41> santameta<U+1E41>",7
"eva<U+1E41> vadesi",7
"eva<U+1E41>sila sa bhagini ahosi i",7
"eva<U+1E41>silo so ayasma ahosi i",7
"evañca panidhekaccana<U+1E41> adhikara<U+1E47>ana<U+1E41> vupasamo ho",7
"evañhi te pa<U+1E6D>hama sama<U+1E47>abrahma<U+1E47>a na parimucci<U+1E41>su marassa iddhanubhava",7
"evarupa<U+1E41> va evarupa<U+1E41> va papakamma<U+1E41> akaramha",7
"gaccha tva<U+1E41>",7
"gate <U+1E6D>hite nisinne sutte jagarite bhasite tu<U+1E47>hibhave sampajanakari ho",7
"hino añño va<U+1E47><U+1E47>o",7
"ida<U+1E41> te",7
"idha bhava<U+1E41> gotamo kimaha",7
"imassa pana",7
"ka ca pana vo antarakatha vippakata",7
"ka vayodhatu",7
"ka<U+1E47>ha dukkha<U+1E41> nigacchasi",7
"ka<U+1E47>ho añño va<U+1E47><U+1E47>o",7
"kanipi udakani ogacchan",7
"kaya nuttha",7
"ke namagotta<U+1E41> savetva ekamanta<U+1E41> nisidi<U+1E41>su",7
"kesu negamesu ceva janapadesu ca",7
"kho te bhikkhu ayasmato sariputtassa paccassosu<U+1E41>",7
"ki<U+1E41>nidana ki<U+1E41>samudaya ki<U+1E41>ja",7
"kiñcapi bhava<U+1E41> gotamo evamaha",7
"kittavata no",7
"kkamo ho",7
"kucchipariharikena pi<U+1E47><U+1E0D>apatena",7
"kusalana<U+1E41> dhammana<U+1E41> nekkhamme anisa<U+1E41>sa<U+1E41> vodanapakkha<U+1E41>",7
"labha vata",7
"lokayatamahapurisalakkha<U+1E47>esu anavayo",7
"musavada pa<U+1E6D>ivirato ho",7
"na aññasi papa<U+1E6D>ika<U+1E41>",7
"na aññasi pheggu<U+1E41>",7
"na aññasi sakhapalasa<U+1E41>",7
"na aññasi taca<U+1E41>",7
"na chambhitatta<U+1E41>",7
"na kho me",7
"na kho paneta<U+1E41>",7
"na tva<U+1E41>",7
"natthi hetu",7
"natthi papassa agamo",7
"natthi puññassa agamo",7
"natthi satta opapa",7
"natthi sukatadukka<U+1E6D>ana<U+1E41> kammana<U+1E41> phala<U+1E41> vipako",7
"natthi tatonidana<U+1E41> papa<U+1E41>",7
"no abrahma<U+1E47>a",7
"no ce kayassa bheda para<U+1E41> mara<U+1E47>a apaya<U+1E41> dugga",7
"no ce kayassa bheda para<U+1E41> mara<U+1E47>a suga",7
"palla<U+1E45>ka<U+1E41> abhujitva",7
"paññaya cassa disva asava parikkhi<U+1E47>a hon",7
"paññaya va adhimucca",7
"papaka akusala dhamma",7
"parisuddho vacisamacaro",7
"passasi no tva<U+1E41>",7
"pharusa<U+1E41> vaca<U+1E41> pahaya pharusaya vacaya pa<U+1E6D>ivirato ho",7
"pisu<U+1E47>a<U+1E41> vaca<U+1E41> pahaya pisu<U+1E47>aya vacaya pa<U+1E6D>ivirato ho",7
"puggala santo sa<U+1E41>vijjamana lokasmi<U+1E41>",7
"puggalo attantapo attaparitapananuyogamanuyutto",7
"puggalo parantapo paraparitapananuyogamanuyutto",7
"puññassa kiriyaya kusalassa aradhanaya",7
"rañño cakkavat",7
"riya<U+1E41> sabbadhi sabbattataya sabbavanta<U+1E41> loka<U+1E41> mettasahagatena cetasa vipulena mahaggatena appama<U+1E47>ena averena abyabajjhena pharitva vihara",7
"riya<U+1E41> sabbadhi sabbattataya sabbavanta<U+1E41> loka<U+1E41> upekkhasahagatena cetasa vipulena mahaggatena appama<U+1E47>ena averena abyabajjhena pharitva vihara",7
"rupana<U+1E41> adinavo",7
"sa bhagavata byakata",7
"sa kho panassa bhagini sama<U+1E41> di<U+1E6D><U+1E6D>ha va ho",7
"sa ni<U+1E6D><U+1E6D>ha",7
"sa tassa saddhañca silañca sutañca cagañca paññañca anussaranti tadatthaya citta<U+1E41> upasa<U+1E41>hara",7
"sa<U+1E45>gha<U+1E6D>ipattacivaradhara<U+1E47>e sampajanakari ho",7
"salohita bhisakka<U+1E41> sallakatta<U+1E41> upa<U+1E6D><U+1E6D>hapeyyu<U+1E41>",7
"sambadho gharavaso rajapatho",7
"samiñjite pasarite sampajanakari ho",7
"samma byakaramano",7
"samma ra<U+1E6D><U+1E6D>hapala",7
"sampasade sa",7
"samphappalapa<U+1E41> pahaya samphappalapa pa<U+1E6D>ivirato ho",7
"saraga<U+1E41> va citta<U+1E41> saraga<U+1E41> cittan",7
"satthari savako evarupa<U+1E41> u<U+1E37>aravisesa<U+1E41> adhigaccha",7
"saupadana<U+1E41>yeva samana<U+1E41> anupadaparinibbana<U+1E41> paññapeyya",7
